cellid|enodebid|Hour of jour|Month, Day, Year of jour|LTE Latency (ms)
31|13139|11|5 fevrier 2021|23,460757426
31|13437|11|5 fevrier 2021|11,955716380
42|13139|11|5 fevrier 2021|11,961527363
31|13110|11|4 mars 2021|23,464514777
31|13139|11|4 mars 2021|26,633745811
31|13437|11|4 mars 2021|11,060495736
42|13139|11|4 mars 2021|15,014750559
31|13110|11|6 mars 2021|15,949770795
31|13139|11|6 mars 2021|28,614370261
31|13437|11|6 mars 2021|11,520282570
42|13139|11|6 mars 2021|20,183496738
31|13110|12|5 fevrier 2021|21,371368039
31|13139|12|5 fevrier 2021|36,372627051
31|13437|12|5 fevrier 2021|13,594415379
42|13139|12|5 fevrier 2021|19,568244527
31|13110|12|4 mars 2021|23,356245286
31|13139|12|4 mars 2021|28,467327676
31|13437|12|4 mars 2021|9,940125504
42|13139|12|4 mars 2021|18,200379188
31|13110|12|6 mars 2021|19,030399548
31|13139|12|6 mars 2021|25,730259359
31|13437|12|6 mars 2021|11,681013565
42|13139|12|6 mars 2021|14,778272538
31|13110|13|5 fevrier 2021|18,768456703
31|13139|13|5 fevrier 2021|28,834546628
31|13437|13|5 fevrier 2021|11,971219196
42|13139|13|5 fevrier 2021|13,451054242
31|13110|13|4 mars 2021|15,842798344
31|13139|13|4 mars 2021|25,508700308
31|13437|13|4 mars 2021|11,882170875
42|13139|13|4 mars 2021|29,643371192
31|13110|13|6 mars 2021|22,644911583
31|13139|13|6 mars 2021|24,153232493
31|13437|13|6 mars 2021|7,408816302
42|13139|13|6 mars 2021|19,211930845
31|13110|14|5 fevrier 2021|18,723251198
31|13139|14|5 fevrier 2021|26,404800530
31|13437|14|5 fevrier 2021|15,584616379
42|13139|14|5 fevrier 2021|15,011409333
31|13110|14|4 mars 2021|21,205067805
31|13139|14|4 mars 2021|28,588858605
31|13437|14|4 mars 2021|9,494858001
42|13139|14|4 mars 2021|20,700848372
31|13110|14|6 mars 2021|25,941718684
31|13139|14|6 mars 2021|23,115368002
31|13437|14|6 mars 2021|12,584326695
42|13139|14|6 mars 2021|18,754722913
31|13110|15|5 fevrier 2021|17,048454038
31|13139|15|5 fevrier 2021|19,108600963
31|13437|15|5 fevrier 2021|13,615382251
42|13139|15|5 fevrier 2021|19,121033296
31|13110|15|4 mars 2021|21,940733286
31|13139|15|4 mars 2021|23,618404368
31|13437|15|4 mars 2021|8,425778887
42|13139|15|4 mars 2021|21,403289838
31|13110|15|6 mars 2021|25,946904597
31|13139|15|6 mars 2021|23,868489552
31|13437|15|6 mars 2021|8,170218412
42|13139|15|6 mars 2021|14,445322048
31|13110|16|5 fevrier 2021|14,499901691
31|13139|16|5 fevrier 2021|34,786867292
31|13437|16|5 fevrier 2021|17,713988860
42|13139|16|5 fevrier 2021|21,689665155
31|13110|16|4 mars 2021|17,913016270
31|13139|16|4 mars 2021|35,466164519
31|13437|16|4 mars 2021|9,737457880
42|13139|16|4 mars 2021|18,813224307
31|13110|16|6 mars 2021|23,613296434
31|13139|16|6 mars 2021|21,900979697
31|13437|16|6 mars 2021|12,396350852
42|13139|16|6 mars 2021|26,661160096
31|13110|17|5 fevrier 2021|13,764345649
31|13139|17|5 fevrier 2021|38,295004075
31|13437|17|5 fevrier 2021|9,581016245
42|13139|17|5 fevrier 2021|18,526762588
31|13110|17|4 mars 2021|15,228228330
31|13139|17|4 mars 2021|21,396389612
31|13437|17|4 mars 2021|9,683328139
42|13139|17|4 mars 2021|23,393153419
31|13110|17|6 mars 2021|21,085077397
31|13139|17|6 mars 2021|29,622248502
31|13437|17|6 mars 2021|13,217540828
42|13139|17|6 mars 2021|25,455943924
31|13110|18|5 fevrier 2021|11,108192100
31|13139|18|5 fevrier 2021|22,143384604
31|13437|18|5 fevrier 2021|14,965895106
42|13139|18|5 fevrier 2021|17,567166327
31|13110|18|4 mars 2021|22,576130087
31|13139|18|4 mars 2021|24,182527572
31|13437|18|4 mars 2021|8,867610298
42|13139|18|4 mars 2021|16,008732358
31|13110|18|6 mars 2021|16,468854651
31|13139|18|6 mars 2021|27,445096129
31|13437|18|6 mars 2021|14,464962987
42|13139|18|6 mars 2021|22,078450764
31|13110|19|5 fevrier 2021|11,485288570
31|13139|19|5 fevrier 2021|36,334866832
31|13437|19|5 fevrier 2021|13,499316682
42|13139|19|5 fevrier 2021|15,520140460
31|13110|19|4 mars 2021|15,995183002
31|13139|19|4 mars 2021|26,570023737
31|13437|19|4 mars 2021|16,438845799
42|13139|19|4 mars 2021|15,021059314
31|13110|19|6 mars 2021|11,910247495
31|13139|19|6 mars 2021|18,183519219
31|13437|19|6 mars 2021|14,238310253
42|13139|19|6 mars 2021|17,278527662
31|13110|20|5 fevrier 2021|15,130830336
31|13139|20|5 fevrier 2021|37,646231758
31|13437|20|5 fevrier 2021|21,269028182
42|13139|20|5 fevrier 2021|16,327820254
31|13110|20|4 mars 2021|22,027950335
31|13139|20|4 mars 2021|21,991709797
31|13437|20|4 mars 2021|17,715816490
42|13139|20|4 mars 2021|19,860507654
31|13110|20|6 mars 2021|13,274570167
31|13139|20|6 mars 2021|28,560731464
31|13437|20|6 mars 2021|16,472761205
42|13139|20|6 mars 2021|16,099554307
31|13110|21|5 fevrier 2021|25,469837770
31|13139|21|5 fevrier 2021|14,077001479
31|13437|21|5 fevrier 2021|18,625837200
42|13139|21|5 fevrier 2021|14,785201137
31|13110|21|4 mars 2021|25,845728457
31|13139|21|4 mars 2021|27,506926580
31|13437|21|4 mars 2021|32,705413565
42|13139|21|4 mars 2021|15,975588629
31|13110|21|6 mars 2021|79,172821624
31|13139|21|6 mars 2021|35,522500447
31|13437|21|6 mars 2021|22,904029222
42|13139|21|6 mars 2021|17,648012960
31|13110|22|5 fevrier 2021|18,535002265
31|13139|22|5 fevrier 2021|15,705166920
31|13437|22|5 fevrier 2021|33,406019717
42|13139|22|5 fevrier 2021|13,935169961
31|13110|22|4 mars 2021|24,967126715
31|13139|22|4 mars 2021|22,950442009
31|13437|22|4 mars 2021|32,945188281
42|13139|22|4 mars 2021|16,485798746
31|13110|22|6 mars 2021|103,259515488
31|13139|22|6 mars 2021|30,913846300
31|13437|22|6 mars 2021|16,419962382
42|13139|22|6 mars 2021|19,589303557
31|13110|23|5 fevrier 2021|15,811898278
31|13139|23|5 fevrier 2021|21,201775705
31|13437|23|5 fevrier 2021|9,805774931
42|13139|23|5 fevrier 2021|14,208156400
31|13110|23|4 mars 2021|28,347383595
31|13139|23|4 mars 2021|39,428452938
31|13437|23|4 mars 2021|19,316148748
42|13139|23|4 mars 2021|13,832963853
31|13110|23|6 mars 2021|75,505885658
31|13139|23|6 mars 2021|43,218011704
31|13437|23|6 mars 2021|20,070495667
42|13139|23|6 mars 2021|23,445629552
