Month of DAY|Site ID(Office)|Site Name|Year of DAY|Calcul 1|valeur|Difference in Count of sheet1
January|13862|LACAVE STADE MUNICIPAL|2021|good|100.00%|
January|13863|GOYAVE|2021|good|99.95%|
January|13864|SCHOELCHER|2021|good|100.00%|
January|13865|PETIT BOURG FT|2021|good|100.00%|
January|13878|SIEAPAPA|2021|good|100.00%|
January|13879|VATABLE|2021|good|100.00%|
January|13880|JARRY|2021|good|100.00%|
January|13881|LAMENTIN SUD|2021|good|100.00%|
January|13882|HYUNDAI|2021|good|100.00%|
January|13886|TROIS RIVIERES|2021|good|99.99%|
January|13887|POINTE DES CHATEAUX|2021|good|99.95%|
January|13893|VIEUX BOURG|2021|good|100.00%|
January|13894|DUZER|2021|good|99.99%|
January|13896|BLONZAC|2021|acceptable|99.56%|
January|13899|CADET|2021|good|100.00%|
January|14200|GASCHETTE|2021|acceptable|99.94%|
January|14204|DAUBERT|2021|acceptable|90.60%|
January|14205|RECULEE|2021|acceptable|99.32%|
January|14206|CARABIN|2021|acceptable|99.86%|
January|14212|ROUTE TRACE CHAMPFLORE|2021|good|100.00%|
January|14214|CHAPUZOT|2021|acceptable|99.89%|
January|14217|CAP EST|2021|good|100.00%|
January|14221|MORNE LEPINAY|2021|good|100.00%|
January|14223|BEAUJOLAIS|2021|good|100.00%|
January|14225|ROUTE DE MOUTTE|2021|good|99.97%|
January|14226|MORNE DESAIX|2021|good|100.00%|
January|14229|BOULEVARD DE LA MARNE|2021|acceptable|97.00%|
January|14231|POINTE DU BOUT FT|2021|good|100.00%|
January|14232|LUNETTE BOUILLEE|2021|good|100.00%|
January|14236|BAIE DES MULETS|2021|acceptable|99.61%|
January|14240|ZI COCOTTE|2021|good|100.00%|
January|14242|ROCHES CARRES|2021|acceptable|99.91%|
January|14243|DUCHESNE|2021|acceptable|98.99%|
January|14244|BEAUSEJOUR|2021|acceptable|99.89%|
January|14248|BOIS LEZARD|2021|good|100.00%|
January|14252|MORNE CAPOT|2021|acceptable|98.82%|
January|14253|GRAND FOND|2021|good|100.00%|
January|14255|HAUTEURS BOURDONS|2021|good|99.99%|
January|14258|HABITATION PETIT REDUIT|2021|good|99.97%|
January|14261|LES HAUTS DE MANIBA|2021|good|100.00%|
January|14267|CHÂTEAU GAILLARD|2021|good|99.99%|
January|14268|FOND MANOEL|2021|good|99.99%|
January|14282|LAMENTIN NORD OUEST|2021|good|100.00%|
January|14289|CHÂTEAU PAILLE|2021|good|100.00%|
January|14290|FOUR A CHAUX|2021|good|100.00%|
January|14291|POINTE DU BOUT HIBISCUS|2021|good|100.00%|
January|14293|FDF ROCADE L'ERMITAGE|2021|good|99.97%|
January|14297|ANSE COLLAT|2021|good|100.00%|
January|14298|RIVIERE SALEE-LA LAUGIER|2021|acceptable|99.83%|
January|14700|LE CARBET|2021|good|100.00%|
January|14701|ST PIERRE|2021|good|100.00%|
January|14702|LE LORRAIN|2021|good|99.99%|
January|14703|LE MARIGOT|2021|acceptable|99.38%|
January|14704|MORNE ROUGE AILERON|2021|good|100.00%|
January|14705|STE MARIE|2021|good|100.00%|
January|14706|LA TRINITE|2021|good|100.00%|
January|14707|GROS MORNE|2021|acceptable|99.93%|
January|14708|VERT PRE|2021|good|100.00%|
January|14709|LESTRADE|2021|good|100.00%|
January|14710|PONTALERY|2021|acceptable|99.73%|
January|14711|ST ROCH|2021|good|100.00%|
January|14712|COURBARIL|2021|good|99.98%|
January|14713|POINTE BATEAU|2021|good|100.00%|
January|14714|ACAJOU|2021|good|99.97%|
January|14716|BELEME|2021|good|100.00%|
January|14717|ROSETTE|2021|good|99.98%|
January|14718|DUCOS STADE|2021|good|99.99%|
January|14719|RIVIERE SALEE|2021|acceptable|99.81%|
January|14720|LES TROIS ILETS|2021|good|99.99%|
January|14722|ANSE D'ARLETS|2021|acceptable|99.39%|
January|14724|CAP CHEVALIER|2021|good|100.00%|
January|14725|STE LUCE|2021|good|99.95%|
January|14726|LE MARIN|2021|good|99.99%|
January|14728|LES SALINES|2021|good|100.00%|
January|14729|RIVIERE PILOTE|2021|good|100.00%|
January|14730|ST ESPRIT|2021|good|100.00%|
January|14732|MORNE DUNOYER|2021|good|100.00%|
January|14733|PLATEAU FOFO|2021|good|99.98%|
January|14734|POINTE NEGRE|2021|good|100.00%|
January|14736|GARNIER PAGES|2021|good|100.00%|
January|14737|LE PORT|2021|good|100.00%|
January|14739|LA MEYNARD|2021|good|100.00%|
January|14740|DILLON|2021|good|100.00%|
January|14741|VALMENIERE|2021|good|99.98%|
January|14742|GALLERIA|2021|good|100.00%|
January|14744|CLAIRIERE|2021|good|100.00%|
January|14745|JAMBETTE|2021|good|100.00%|
January|14746|RESIDENCE MARYLAND|2021|good|99.96%|
January|14747|CASE PILOTE|2021|good|100.00%|
January|14748|AEROPORT|2021|good|100.00%|
January|14749|BELLFONTAINE|2021|good|100.00%|
January|14750|MORNE VERT|2021|good|100.00%|
January|14751|MORNE FOLIE|2021|good|100.00%|
January|14753|TRINITE TARTANE|2021|good|100.00%|
January|14755|BASSE POINTE|2021|good|100.00%|
January|14756|ANSE L'ANE|2021|good|99.99%|
January|14757|MORNE CARRIERE|2021|good|99.95%|
January|14758|CERP BULL|2021|good|100.00%|
January|14759|CITRON|2021|good|99.99%|
January|14760|BOIS ROUGE|2021|good|99.99%|
January|14762|MORNE BIGOT|2021|good|100.00%|
January|14763|PETIT BOURG|2021|acceptable|99.92%|
January|14766|DUCOS CENTRE|2021|good|100.00%|
January|14767|SCHOELCHER|2021|acceptable|99.89%|
January|14768|BALATA|2021|good|99.99%|
January|14769|La Demarche|2021|good|100.00%|
January|14771|FOND ST. JACQUES|2021|acceptable|99.38%|
January|14772|MORNE DES ESSES|2021|acceptable|99.91%|
January|14774|PELLETIER OC|2021|acceptable|99.69%|
January|14775|TERRE SAINVILLE Fort De France|2021|good|100.00%|
January|14776|JOSSEAUD|2021|good|100.00%|
January|14777|DESMARINIERES|2021|good|100.00%|
January|14778|PETITE ANSE|2021|good|100.00%|
January|14780|FOND BOUCHER|2021|good|100.00%|
January|14781|TROIS RIVIERES|2021|good|100.00%|
January|14782|DIZAC|2021|acceptable|96.57%|
January|14783|GROMAT|2021|good|100.00%|
January|14785|MORNE ROUGE STADE|2021|acceptable|96.80%|
January|14786|CAP MACRE|2021|good|99.98%|
January|14787|MORNE LAVALEUR|2021|acceptable|99.87%|
January|14788|BALATA|2021|acceptable|99.74%|
January|14791|TRINITE NORD|2021|good|100.00%|
January|14793|HOTEL DE VILLE|2021|good|100.00%|
January|14794|ECHANGEUR DILLON|2021|acceptable|99.87%|
January|14796|FOND MASSON|2021|acceptable|99.80%|
January|14797|MORNE FIRMIN ABONDANCE|2021|good|99.97%|
January|14798|CENTRE VILLE FRANCOIS|2021|good|99.98%|
January|17303|MOUCAYA|2021|acceptable|99.83%|
January|17304|ROCHES BLANCHES|2021|acceptable|99.48%|
January|17305|ORGANABO|2021|acceptable|99.47%|
January|17306|CHIRE|2021|acceptable|99.82%|
January|17308|COUACHIMANA|2021|good|99.99%|
January|17309|AWALA|2021|acceptable|99.79%|
January|17314|CARREFOUR MANA|2021|acceptable|99.88%|
January|17318|CHARVEIN|2021|acceptable|99.89%|
January|17319|COSWINE|2021|acceptable|99.78%|
January|17321|TERRE ROUGE ESPERANCE|2021|acceptable|99.76%|
January|17322|MACRABO|2021|acceptable|99.55%|
January|17323|PATAWA|2021|good|99.99%|
January|17324|LE SOLITAIRE|2021|good|99.99%|
January|17325|TONNEGRANDE|2021|good|99.99%|
January|17326|ROCHAMBEAU MARIGNAN|2021|acceptable|99.66%|
January|17328|MONTAGNE CHÂTEAU CENTRE|2021|acceptable|99.48%|
January|17330|ROCHE TABLON|2021|acceptable|99.66%|
January|17340|ZI COLLERY|2021|good|99.99%|
January|17341|APATOU|2021|good|100.00%|
January|17343|GRAN SANTI|2021|good|100.00%|
January|17345|PAPAICHTON|2021|good|100.00%|
January|17346|SAVANE ELISABETH|2021|good|100.00%|
January|17347|ST LAURENT LAGUNE GNU|2021|acceptable|99.81%|
January|17349|BADUEL|2021|good|100.00%|
January|17900|CAYENNE|2021|acceptable|99.81%|
January|17902|CITE HORTZ|2021|acceptable|99.80%|
January|17903|CAMP DU TIGRE|2021|good|99.99%|
January|17905|CIMENTERIE|2021|good|100.00%|
January|17907|LA CHAUMIERE|2021|acceptable|99.77%|
January|17908|CALIFOURCHON|2021|good|100.00%|
January|17909|SAVANE SERGENT|2021|acceptable|99.92%|
January|17910|ROURA RESERVOIR|2021|acceptable|99.92%|
January|17911|FARNOUS|2021|good|99.97%|
January|17912|CD5 MONTSINERY|2021|acceptable|99.80%|
January|17913|GUATEMALA|2021|good|99.99%|
January|17914|MONTAGNE DES PERES|2021|good|99.98%|
January|17915|PARIACABO|2021|good|100.00%|
January|17916|KOUROU FT|2021|good|100.00%|
January|17917|FUSEE SONDE CSG|2021|good|100.00%|
January|17918|SINAMARY|2021|good|100.00%|
January|17921|IRACOUBO|2021|acceptable|99.60%|
January|17924|MONTSINERY TDF|2021|good|100.00%|
January|17925|CARISTAN|2021|acceptable|99.91%|
January|17926|BALATE OC|2021|acceptable|99.82%|
January|17927|MONTAGNE GABIN|2021|acceptable|99.89%|
January|17928|REGINA FT|2021|good|100.00%|
January|17929|MALMANOURY|2021|acceptable|99.91%|
January|17931|CITE PASCALINE|2021|acceptable|99.75%|
January|17933|REMIRE MONTJOLY|2021|good|100.00%|
January|17934|LES AMES CLAIRES|2021|acceptable|99.91%|
January|17935|BUZARET|2021|good|99.97%|
January|17936|MANCELLIERE PALAIS DES SPORTS|2021|good|100.00%|
January|17937|MATHOURIENNE DEUX FLOTS|2021|good|100.00%|
January|17938|MATHOURIENNE MATOURY EST|2021|good|100.00%|
January|17939|AEROPORT ROCHAMBEAU|2021|good|100.00%|
January|17940|CARAPA|2021|good|99.95%|
January|17941|SOULA|2021|good|100.00%|
January|17942|ROUTE DE GALLION DOROTHEE|2021|good|99.97%|
January|17943|SAVANE CAUSSADE|2021|acceptable|99.81%|
January|17945|TROU POISSON|2021|good|100.00%|
January|17946|CORROSSONY|2021|acceptable|92.63%|
January|17947|ACAROUANY|2021|acceptable|99.89%|
January|17951|ST LAURENT BOURG - GNU|2021|good|100.00%|
January|17952|CARAPA SOLAM|2021|acceptable|99.85%|
January|17953|MANA GNU|2021|acceptable|99.79%|
January|17999|CAYENNE REPUBLIQUE|2021|good|100.00%|
February|13103|CELIGNY|2020|good|100.00%|
February|13103|CELIGNY|2021|acceptable|99.92%|
February|13105|Chateau Gaillard|2020|good|99.99%|
February|13105|Chateau Gaillard|2021|acceptable|99.80%|
February|13110|GUERY|2020|acceptable|99.93%|
February|13110|GUERY|2021|good|100.00%|
February|13111|GRANDE VIGIE|2020|good|99.97%|
February|13111|GRANDE VIGIE|2021|good|100.00%|
February|13112|CARAQUE|2020|good|100.00%|
February|13112|CARAQUE|2021|good|100.00%|
February|13116|ANSE A DOUVILLE - GOYAVE|2020|good|100.00%|
February|13116|ANSE A DOUVILLE - GOYAVE|2021|acceptable|99.72%|
February|13117|MON REPOS|2020|good|100.00%|
February|13117|MON REPOS|2021|acceptable|99.75%|
February|13118|BOIS DEBOUT|2020|good|100.00%|
February|13118|BOIS DEBOUT|2021|good|99.99%|
February|13121|MATOUBA|2020|good|100.00%|
February|13121|MATOUBA|2021|good|100.00%|
February|13122|LE TUFF GRAND CROIX|2020|good|100.00%|
February|13122|LE TUFF GRAND CROIX|2021|good|100.00%|
February|13123|TARARE|2020|good|99.99%|
February|13123|TARARE|2021|acceptable|98.71%|
February|13134|PETIT PEROU|2020|good|100.00%|
February|13134|PETIT PEROU|2021|good|100.00%|
February|13135|PAP VALMY|2020|good|100.00%|
February|13135|PAP VALMY|2021|good|100.00%|
February|13136|MORNE GARCIA DUGAZON|2020|good|100.00%|
February|13136|MORNE GARCIA DUGAZON|2021|good|100.00%|
February|13137|DESTRELAN|2020|good|100.00%|
February|13137|DESTRELAN|2021|good|99.99%|
February|13138|AEROPORT RAIZET|2020|acceptable|99.10%|
February|13138|AEROPORT RAIZET|2021|good|100.00%|
February|13139|GRANDE SAVANE|2020|good|100.00%|
February|13139|GRANDE SAVANE|2021|good|100.00%|
February|13142|POINTE JARRY|2020|good|100.00%|
February|13142|POINTE JARRY|2021|good|100.00%|
February|13143|JARRY MOUDONG|2020|good|100.00%|
February|13143|JARRY MOUDONG|2021|good|99.99%|
February|13144|ST LOUIS|2020|good|100.00%|
February|13144|ST LOUIS|2021|good|100.00%|
February|13158|BAS VENT|2020|good|100.00%|
February|13158|BAS VENT|2021|good|100.00%|
February|13159|BELLEVUE MUSEE DU RHUM|2020|good|100.00%|
February|13159|BELLEVUE MUSEE DU RHUM|2021|good|100.00%|
